dateOfLoss,occupancyType,countyCode,causeOfDamage,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,buildingDamageAmount,netBuildingPaymentAmount
2015-10-03T00:00:00.000Z,11,45019.0,0,1205.46,0.0,2456.0,1205.46
2015-10-04T00:00:00.000Z,1,45019.0,4,9001.71,0.0,12303.0,9001.71
2015-10-03T00:00:00.000Z,1,45063.0,2,50000.0,3600.0,54681.0,50000.0
2015-10-03T00:00:00.000Z,4,45079.0,4,92391.7,0.0,97391.0,92391.7
2015-10-04T00:00:00.000Z,11,45079.0,2,174724.57,56980.45,168492.0,174724.57
2015-10-03T00:00:00.000Z,1,45019.0,4,23202.98,0.0,22233.0,23202.98
2015-11-01T00:00:00.000Z,1,45019.0,,,,,0.0
2015-10-04T00:00:00.000Z,1,45015.0,2,,,,0.0
2015-10-04T00:00:00.000Z,11,45019.0,2,55558.51,0.0,50567.0,55558.51
2015-10-03T00:00:00.000Z,11,45035.0,0,18683.15,0.0,20684.0,18683.15
2015-10-03T00:00:00.000Z,1,45019.0,2,335.28,8472.25,1585.0,335.28
2015-10-04T00:00:00.000Z,1,45079.0,4,1401.48,0.0,2720.0,1401.48
2015-10-04T00:00:00.000Z,1,45019.0,4,,,1102.0,0.0
2015-11-10T00:00:00.000Z,6,45079.0,0,13025.7,0.0,14026.0,13025.7
2015-10-03T00:00:00.000Z,11,45019.0,4,13871.05,0.0,13420.0,13871.05
2015-10-02T00:00:00.000Z,1,45029.0,4,,,1246.0,0.0
2015-10-04T00:00:00.000Z,1,45051.0,2,29989.56,13517.52,31989.0,29989.56
2015-10-05T00:00:00.000Z,11,45075.0,2,5958.87,0.0,6684.0,5958.87
2015-10-04T00:00:00.000Z,11,45063.0,2,,,370.0,0.0
2015-10-03T00:00:00.000Z,1,45019.0,4,8178.82,0.0,9237.0,8178.82
2015-10-03T00:00:00.000Z,1,45019.0,2,,,,0.0
2015-10-03T00:00:00.000Z,11,45085.0,4,,,,0.0
2015-10-03T00:00:00.000Z,15,45051.0,4,53529.2,0.0,52152.0,53529.2
2015-10-03T00:00:00.000Z,11,45035.0,2,18703.8,0.0,18593.0,18703.8
2015-10-03T00:00:00.000Z,1,45051.0,0,6165.35,0.0,7416.0,6165.35
2015-10-05T00:00:00.000Z,1,45035.0,2,27961.92,5687.99,28470.0,27961.92
2015-10-03T00:00:00.000Z,11,45035.0,4,,,,0.0
2015-10-26T00:00:00.000Z,1,45019.0,4,,,,0.0
2015-10-03T00:00:00.000Z,1,45019.0,4,6153.25,0.0,6872.0,6153.25
2015-10-05T00:00:00.000Z,18,45051.0,4,3658.19,0.0,5658.0,3658.19
2015-10-10T00:00:00.000Z,11,45043.0,2,,,4159.0,0.0
2015-10-04T00:00:00.000Z,18,45079.0,2,26788.59,39198.71,27789.0,26788.59
2015-10-10T00:00:00.000Z,1,45079.0,2,3753.85,0.0,5753.0,3753.85
2015-10-05T00:00:00.000Z,1,45079.0,4,36200.0,0.0,41340.0,36200.0
2015-10-04T00:00:00.000Z,1,45019.0,2,9649.01,0.0,9708.0,9649.01
2015-10-04T00:00:00.000Z,11,45019.0,4,15702.87,0.0,15211.0,15702.87
2015-10-04T00:00:00.000Z,1,45079.0,0,248963.07,0.0,250964.0,248963.07
2015-10-03T00:00:00.000Z,11,45079.0,2,54357.58,8194.27,43582.0,54357.58
2015-10-04T00:00:00.000Z,1,45063.0,2,87003.27,0.0,81827.0,87003.27
2015-08-31T00:00:00.000Z,1,45019.0,2,21427.38,0.0,21128.0,21427.38
2015-10-04T00:00:00.000Z,1,45085.0,4,1580.67,0.0,3581.0,1580.67
2015-10-03T00:00:00.000Z,11,45019.0,2,,,,0.0
2015-10-05T00:00:00.000Z,1,45035.0,4,,,,0.0
2015-10-04T00:00:00.000Z,1,45079.0,2,,,1430.0,0.0
2015-10-03T00:00:00.000Z,15,45043.0,2,15926.64,0.0,15844.0,15926.64
2015-10-04T00:00:00.000Z,11,45051.0,0,,,732.0,0.0
2015-10-05T00:00:00.000Z,11,45085.0,4,12851.61,0.0,12668.0,12851.61
2015-11-09T00:00:00.000Z,1,45079.0,0,,,,0.0
2015-10-03T00:00:00.000Z,1,45019.0,,,,,0.0
2015-10-04T00:00:00.000Z,1,45035.0,4,38382.63,12749.1,33055.0,38382.63
